Aproveitamento Hidráulico;Source;Lat;Lon;Capacity_Web;Código da massa de água;Data CC - Início;Data CC - Termo;Designação da Massa de água;Finalidade CC;Match_Method;N.º Contrato Concessão (CC);OSM_ID;Operator_Web;Outros Usos albufeira;RH;Região hidrográfica;Web_Name;﻿Bacia Hidrográfica
Campelos;Both;41.4577774;-8.345325;0.9 MW;PT02AVE0126;13/12/1991;13/12/2026;"Rio Ave (HMWB - Jusante B.
Ermal - Guilhofrei)";Energia;Exact;Alvará de Licença nº 48/90 de 25/07/1990;1227604675;Têxteis Manuel Gonçalves;-;RH2;Cávado, Ave e Leça;Aproveitamento Hidroelétrico de Campelos;Ave
Caneiro;Both;41.3724842;-8.3447498;1.6 MW;PT02AVE0130;09/06/2000;09/06/2035;Rio Ave;Energia;Exact;"Alvará de Licença nº 006/C-AHE, de
30/04/1996";1227604669;Sociedade Hidroeléctrica Moreirense;-;RH2;Cávado, Ave e Leça;Aproveitamento Hidroelétrico do Caneiro;Ave
Caniços (Vizela);Both;41.364796;-8.4283776;0.9 MW;PT02AVE0130;14/04/2014;14/04/2054;Rio Ave;Energia;Substring;"CC N.º C00001/2014.RH2.1198.A, de
144/04/2014";823561099;Energias de Portugal;-;RH2;Cávado, Ave e Leça;Central Hidroelétrica de Caniços;Ave
Carvalho do Moínho;Both;41.418812;-8.3562497;0.2 MW;PT02AVE0118;28/11/1996;28/11/2031;Ribeira do Selho;Energia;Exact;"Alvará de Licença nº 007/C.AHE,  de
28/11/1996";334481162;José Magalhães Alves Lda;-;RH2;Cávado, Ave e Leça;Aproveitamento Hidroelétrico do Carvalho do Moinho;Ave
Corvete;Both;41.3964845;-8.1793833;2.4 MW;PT02AVE0120;em avaliação;em avaliação;Rio Ferro;Energia;Exact;Decreto de 6.3.1972;160717386;Jordão Costa & C.ª, Lda.;-;RH2;Cávado, Ave e Leça;Minihídrica do Corvete;Ave
Lourido;Both;41.3950633;-8.1971686;2.8 MW;PT02AVE0120;23/07/1998;23/07/2033;Rio Ferro;Energia;Exact;Alvará de Licença n.º 95 de 30/10/1991;150772756;Empresa Hidroeléctrica de Felgueiras;-;RH2;Cávado, Ave e Leça;Minihídrica do Lourido;Ave
Negrelos II (Vau;Both;41.3569419;-8.4149473;0.7 MW;PT02AVE0130;14/04/2014;14/04/2054;Rio Ave;Energia;Substring;"CC N.º C00002/2014-RH2.1198.A, de 14-04-
2014";825205061;Hidroeléctrica de S. Nicolau;-;RH2;Cávado, Ave e Leça;Aproveitamento Hidroelétrico de Negrelos;Ave
Rego do Naval;Both;41.3427558;-8.6289784;0.75 MW;PT02AVE0130;28/12/2010;22/01/2042;Rio Ave;Energia;Exact;"CC N.º C00012/2010.RH2.1198.A, de
28/12/2010";1227604662;Garfer Internacional;-;RH2;Cávado, Ave e Leça;Central Hídrica de Rego Naval;Ave
Ronfe;Both;41.4384303;-8.3741585;1 MW;PT02AVE0126;03/08/1993;03/08/2028;"Rio Ave (HMWB - Jusante B.
Ermal - Guilhofrei)";Energia;Exact;"Alvará Licença Nº 112 de 1993 com
aditamento de 3.10.2005";287204058;Têxteis Manuel Gonçalves;-;RH2;Cávado, Ave e Leça;Aproveitamento Hidroelétrico de Ronfe;Ave
"Abelheira I (deriva para AH
Paradela)";Both;37.236658;-8.3795133;0.4 MW;PT02CAV0076;08/03/2008;31/12/2032;"Rio Cávado (HMWB - Jusante
B. Paradela)";Energia;Substring;CC N.º  05/ENERGIA/INAG/2008;544239046;Associação De Regantes e Beneficiários de Silves, Lagoa e Portimão;-;RH2;Cávado, Ave e Leça;Central Hidroelétrica de Arade;Cávado
"Abelheira II (deriva para AH
Paradela)";Both;41.7021528;-8.0069277;55.970 MW;PT02CAV0076;08/03/2008;31/12/2032;"Rio Cávado (HMWB - Jusante
B. Paradela)";Energia;Substring;CC N.º  05/ENERGIA/INAG/2008;1427805692;Energias de Portugal;-;RH2;Cávado, Ave e Leça;Central Hidroelétrica da Paradela;Cávado
"Açude da Cabreira deriva para
Venda";APA;;;;PT02CAV0082;08/03/2008;31/12/2070;Rio de Saltadouro;Energia;;CC N.º  04/ENERGIA/INAG/2008;;;-;RH2;Cávado, Ave e Leça;;Cávado
Açude Ribeira de Rebordondo (deriva para AH Ruivães);Both;41.6847198;-8.0660443;3.9 MW;PT02CAV0082;01/01/2017;01/01/2052;Rio de Saltadouro;Energia;Substring;CC N.º 00013/2009-RH2.1196.E de 16/09/2009;1242000627;HIDROERG;-;RH2;Cávado, Ave e Leça;Minihídrica de Ruivães;Cávado
"Açude Ribeiro de Chedos
(deriva para AH Ruivães)";APA;;;;PT02CAV0082;01/01/2017;01/01/2052;Rio de Saltadouro;Energia;;"CC N.º 00013/2009-RH2.1196.E de
16/09/2009";;;-;RH2;Cávado, Ave e Leça;;Cávado
