Aproveitamento Hidráulico;Source;Lat;Lon;Capacity_Web;Código da massa de água;Data CC - Início;Data CC - Termo;Designação da Massa de água;Finalidade CC;Match_Method;N.º Contrato Concessão (CC);OSM_ID;Operator_Web;Outros Usos albufeira;RH;Região hidrográfica;Web_Name;﻿Bacia Hidrográfica
Pego Negro;Both;41.3285472;-8.0866075;0.7 MW;PT03DOU0297;12/12/2011;12/12/2051;Ribeira de Santa Natália;Energia;Exact;C00004/2011-RH3.1212.A, de 12.12.2011;1227616895;Hidroeléctrica do Pego;-;RH3;Douro;Aproveitamento Hidroelétrico do Pego Negro;Douro
Penhas Altas;Both;41.2302305;-8.4144056;1.6 MW;PT03DOU0327;em avaliação;em avaliação;Rio Ferreira;Energia;Exact;Alvará de Licença Nº 57;1227567404;Sociedade Hidroeléctrica do Rio Ferreira;-;RH3;Douro;Aproveitamento Hidroelétrico das Penhas Altas;Douro
Pereira;Both;40.919942;-7.9647301;4.5 MW;PT03DOU0452;03/06/1998;03/06/2033;Ribeira da Carvalhosa;Energia;Exact;"Alvará de Licença nº 294/98 - MH(15) de
03/06/1998";1227795235;RP GLOBAL PORTUGAL;-;RH3;Douro;Aproveitamento Hidroelétrico de Pereira;Douro
Picote;Both;41.3792533;-6.3518157;192 MW;PT03DOU0275;08/03/2008;31/12/2063;Albufeira de Picote;Energia;Exact;CC N.º  10/ENERGIA/INAG/2008;19455216;Movhera;Abastecimento público - CC;RH3;Douro;Central Hidroelétrica de Picote;Douro
Pinhão;APA;;;;PT03DOU0285B;29/05/2009;26/10/2031;Albufeira do Pinhão;Energia;;"CC N.º 4/ABAST/ARH do Norte.I.P./2009, de
29.5.2009";;;-;RH3;Douro;;Douro
Pinhel (Ribeira da Pega);Both;40.8242422;-7.0829282;6.8 MW;PT03DOU0474;09/06/1999;09/06/2034;"Ribeira da Pega (HMWB -
Jusante B. Vascoveiro)";Energia;Substring;"Alvará de Licença nº 590/99-MH, de
09/06/1999";1051175679;HIDROERG;-;RH3;Douro;Aproveitamento Hidroelétrico de Pinhel;Douro
Pinhel (Ribeira das Cabras);APA;;;;PT03DOU0471;09/06/1999;09/06/2034;Rio Côa;Energia;;"Alvará de Licença nº 590/99-MH, de
09/06/2000";;;-;RH3;Douro;;Douro
Pisões;Both;40.5467585;-8.0704743;0.1 MW;PT03DOU0320;10/05/2021;11/05/2056;Rio Fornelo;Energia;Exact;"CC N.º nº C00007/2017-RH3.12.A, de
27/07/2017";1227795219;Energias de Portugal;-;RH3;Douro;Aproveitamento Hidroelétrico de Pisões;Douro
Pocinho;Both;41.1342508;-7.1141714;186 MW;PT03DOU0371;08/03/2008;31/12/2052;Albufeira do Pocinho;Energia;Exact;CC N.º  12/ENERGIA/INAG;1227761012;Energias de Portugal;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;Central Hidroelétrica do Pocinho;Douro
Ponte Nova;Both;40.8892646;-7.5131209;0.3 MW;PT03DOU0457;26/07/1996;26/07/2031;Rio Távora;Energia;Substring;"Alvará de Licença nº003/C.AHE, de
19/01/1996";1227819032;HIDROBEIRA;-;RH3;Douro;Aproveitamento Hidroelétrico daPonte Nova;Douro
Prada;APA;;;;PT03DOU0156;31/05/2019;31/05/2044;Regato de Vale de Cabrões;Rega;;CC N.º 005/2019-RH3.12.A de 31.5.2019;;;-;RH3;Douro;;Douro
Rebordelo;Both;41.7405834;-7.1748231;10 MW;PT03DOU0189N;17/02/1999;17/02/2034;Rio Rabaçal;Energia;Exact;"Alvará de Licença  Nº 011/C - AHE de
17.2.1999";1444559521;Aquila Capital;-;RH3;Douro;Central Hidroelétrica de Rebordelo;Douro
Rego do Milho;APA;;;;PT03DOU0152;31/05/2019;31/05/2044;Ribeira de Cambedo Regueirón;Rega;;CC N.º 006/2019-RH3.12.A de 31.5.2019;;;-;RH3;Douro;;Douro
Régua;Both;41.147442;-7.7381848;177 MW;PT03DOU0365;08/03/2008;31/12/2052;Albufeira da Régua;Energia;Exact;CC N.º  14/ENERGIA/INAG/2008;1424661457;Energias de Portugal;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;Central Hidroelétrica da Régua;Douro
Ribadouro (Açude);Both;41.0990873;-8.0825152;3.1 MW;PT03DOU0392;13/12/1991;13/12/2026;Rio Ovil;Energia;Substring;Alvará de Licença nº 68, de 30/11/1990;879308464;HIDROERG;-;RH3;Douro;Aproveitamento Hidroelétrico de Ribadouro;Douro
Ribeiro Grande e Arco;APA;;;;PT03DOU0325C;23/04/2013;23/04/2033;"Albufeira de Ribeiro Grande e
Arco";Rega;;"CC N.º 00008/2013-RH3.1216.A, de
23.4.2013";;;-;RH3;Douro;;Douro
Salgueiro;APA;;;;PT03DOU0290;23/04/2013;23/04/2033;Ribeira da Vilariça;Rega;;"CC N.º 00008/2013-RH3.1216.A, de
23.4.2013";;;-;RH3;Douro;;Douro
Santa Justa;APA;;;;PT03DOU0290;23/04/2013;23/04/2033;Ribeira da Vilariça;Rega;;"CC N.º 00008/2013-RH3.1216.A, de
23.4.2013";;;-;RH3;Douro;;Douro
Senhora de Monforte;Both;40.8172977;-7.0292205;9 MW;PT03DOU0471;06/06/1992;06/06/2027;Rio Côa;Energia;Exact;Alvará de Licença nº 39/90 , de 04/05/1990;1051175672;Energias Hidroeléctricas;-;RH3;Douro;Central Hidroelétrica da Senhora de Monforte;Douro
Senhora do Salto;Both;41.1230859;-8.4368754;3.8 MW;PT03DOU0399;09/02/1993;09/02/2028;Rio Sousa;Energia;Exact;Alvará de Licença nº56 de 12/10/1990;969274207;Sociedade Hidroeléctrica do Norte;-;RH3;Douro;Aproveitamento Hidroelétrico da Senhora do Salto;Douro
Sordo;Both;41.2705881;-7.7612341;8.5 MW;PT03DOU0310;06/12/1994;05/12/2029;Rio Sordo;Energia;Exact;Alvará de Licença nº  110 de 3.7.1993;532020839;Aquila Capital;Abastecimento público - CC;RH3;Douro;Central Hidroelétrica do Sordo;Douro
Terragido;Both;41.2721466;-7.7487632;8.5 MW;PT03DOU0359;08/02/1991;07/02/2026;Rio Corgo;Energia;Exact;Alvará de Licença Nº 34/90 de 29.3.1990;1227567395;Aquila Capital;-;RH3;Douro;Aproveitamento Hidroelétrico do Terragido;Douro
Torga;Both;41.7062643;-7.1175887;8.5 MW;PT03DOU0180;02/07/1991;01/07/2026;Rio Tuela;Energia;Exact;Alvará de Licença Nº 69 de 17/12/1990;162926004;Aquila Capital;-;RH3;Douro;Aproveitamento Hidroelétrico de Torga;Douro
Torrão;Both;41.0964184;-8.2632016;137 MW;PT03DOU0393;08/03/2008;31/12/2052;Albufeira do Torrão;Energia;Exact;CC N.º  17/ENERGIA/INAG/2008;1422753949;Energias de Portugal;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;Central Hidroelétrica do Torrão;Douro
Trutas;Both;41.8335232;-6.9426221;2.2 MW;PT03DOU0180;22/12/2010;19/11/2044;Rio Tuela;Energia;Exact;C00013/2010.RH2.1214.A, de 22/12/2010;1051431051;Hidroeléctrica das Trutas, Lda.;-;RH3;Douro;Aproveitamento Hidroelétrico das Trutas;Douro
Ucanha - Gouviães;Both;41.0690872;-7.7597984;5.7 MW;PT03DOU0390;01/03/1999;01/03/2034;Rio Varosa;Energia;Substring;Alvará de Licença nº 100 de 30/09/1992;1221586687;Hidroeléctrica de Casal;-;RH3;Douro;Aproveitamento Hidroelétrico da Ucanha;Douro
Vale Madeira;Both;40.7983904;-7.0147819;1.35 MW;PT03DOU0471;17/06/2004;17/06/2039;Rio Côa;Energia;Exact;Alvará de Licença nº 107, de 30/07/1993;382253263;Energias Hidroeléctricas;-;RH3;Douro;Aproveitamento Hidroelétrico Vale de Madeira;Douro
Vale Madeiro;APA;;;;PT03DOU0248;23/04/2013;23/04/2033;Ribeira de Mourel;Rega;;CC N.º 00006/2013-RH3.1214.A de 23.4.2013;;;-;RH3;Douro;;Douro
Vale Soeiro;Both;40.8988378;-7.9439604;4.4 MW;PT03DOU0453;08/07/1994;08/07/2029;Rio Paiva;Energia;Exact;Alvará de Licença Nº 9/89  de 04/12/1989;380519066;Generg;-;RH3;Douro;Aproveitamento Hidroelétrico de Vale Soeiro;Douro
Valeira;Both;41.1604322;-7.3738011;236 MW;PT03DOU0353A;08/03/2008;31/12/2052;Albufeira da Valeira;Energia;Exact;CC N.º  13/ENERGIA/INAG/2008;1227760443;Energias de Portugal;Navegação;RH3;Douro;Central Hidroelétrica da Valeira;Douro
Valtorno;APA;;;;PT03DOU0325A;20/07/2012;26/10/2031;Ribeiro Grande;Rega;;CC N.º 017/2012-RH3.1216.A, de 20.7.2012;;;-;RH3;Douro;;Douro
Varosa;Both;41.1402877;-7.7754872;24.5 MW;PT03DOU0386;16/04/1973;16/04/2033;Albufeira do Varosa;Energia;Exact;Diário do Governo nº 90, de 16/04/1973;212029876;Energias de Portugal;-;RH3;Douro;Central Hidroelétrica de Varosa;Douro
Vermiosa;APA;;;;PT03DOU0465;24/03/2021;31/12/2046;Ribeiro da Deveza;Rega;;CC N.º 00003/2021-RH3.12.A, de 24.3.2021;;;-;RH3;Douro;;Douro
Vila Viçosa;Both;40.9955312;-8.2103496;3.8 MW;PT03DOU0434;13/09/1993;13/09/2028;Rio Ardena;Energia;Exact;"Alvará de licença nº 1/89 de 6 de novembro de
1989";167449736;Hidrocentrais Reunidas;-;RH3;Douro;Central Hidroelétrica de Vila Viçosa;Douro
Vilar - Tabuaço;APA;;;;PT03DOU0436;08/03/2008;31/12/2042;Albufeira Vilar - Tabuaço;Energia;;CC N.º  18/ENERGIA/INAG/2008;;;"Abastecimento público - CC;
Lazer/Balnear";RH3;Douro;;Douro
Açude das Salgadas;APA;;;;PT04LIS0704;14/04/2014;30/06/2023;Lis;Rega;;CC N.º 1/AGRIC/SUP/RH4/2014;;;-;RH4A;Vouga, Mondego e Lis;;Lis
Açude do Arrabalde;APA;;;;PT04LIS0709B;14/04/2014;30/06/2023;Rio Lis;Rega;;CC N.º 1/AGRIC/SUP/RH4/2014;;;-;RH4A;Vouga, Mondego e Lis;;Lis
Açude da Castanheira (deriva caudais para AH Santa Luzia);Both;40.0797383;-7.8185768;24.4 MW;PT04MON0678;21/02/1957;01/01/2028;Rio Ceira;Energia;Substring;Decreto de 21 de fevereiro de 1957;244109392;Energias de Portugal;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica de Santa Luzia;Mondego
Açude do Ceiroco (deriva caudais para AH Santa Luzia);APA;;;;PT04MON0678;21/02/1957;01/01/2028;Rio Ceira;Energia;;Decreto de 21 de fevereiro de 1957;;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Açude do Tojo (deriva caudais para AH Santa Luzia);APA;;;;PT04MON0678;21/02/1957;01/01/2028;Rio Ceira;Energia;;Decreto de 21 de fevereiro de 1957;;;-;RH4A;Vouga, Mondego e Lis;;Mondego
"Açude dos Trinta - deriva para
central do Caldeirão";Both;40.5419578;-7.3361143;41.4 MW;PT04MON0618A;08/03/2008;31/12/2053;Rio Mondego;Energia;Substring;21/ENERGIA/INAG/2008 e adenda;1051201707;Energias de Portugal;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica do Caldeirão;Mondego
Aguieira;Both;40.3401127;-8.19686;336 MW;PT04MON0633;08/03/2008;31/12/2052;Albufeira da Aguieira;Energia;Exact;19/ENERGIA/INAG/2008;969659867;Energias de Portugal;"Abastecimento público - CC;
Rega";RH4A;Vouga, Mondego e Lis;Central Hidroelétrica da Aguieira;Mondego
Alto Ceira II;APA;;;;PT04MON0678;21/02/1957;01/01/2028;Rio Ceira;Energia;;Decreto de 21 de fevereiro de 1957;;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Avô;APA;;;;PT04MON0658;10/02/1997;10/02/2032;Rio Alva;Energia;;Alvará de Licença N.º 118/97 MH (10);;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Caldeirão;APA;;;;PT04MON0597;08/03/2008;31/12/2052;"Albufeira do Caldeirão
(Mondego)";Energia;;CC N.º 21/ENERGIA/INAG/2008;;;Abastecimento público - CC;RH4A;Vouga, Mondego e Lis;;Mondego
Caniça;APA;;;;PT04MON0624;09/10/1968;09/10/2028;"Ribeira da Caniça (HMWB -
Jusante B. Lagoa Comprida)";Energia;;"Decreto de concessão de  9 de outubro de
1968";;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Casal de Ermio;APA;;;;PT04MON0679;31/12/2023;31/12/2058;Rio Ceira;Energia;;CC N.º 01/ENERGIA/APA-ARHC/2020;;;Rega - CC;RH4A;Vouga, Mondego e Lis;;Mondego
Covão da Erva da Fome;APA;;;;PT04MON0617;09/10/1968;09/10/2028;"Ribeira da Fervença (HMWB -
Jusante B. Vale Rossim)";Energia;;"Decreto de concessão de  9 de outubro de
1968";;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Covão do Boieiro/Boeiro;APA;;;;PT04MON0634;09/10/1968;09/10/2028;Ribeira de Loriga;Energia;;"Decreto de concessão de  9 de outubro de
1968";;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Covão do Curral;APA;;;;PT04MON0624;09/10/1968;09/10/2028;"Ribeira da Caniça (HMWB -
Jusante B. Lagoa Comprida)";Energia;;"Decreto de concessão de  9 de outubro de
1968";;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Covão do Forno;APA;;;;PT04MON0624;09/10/1968;09/10/2028;"Ribeira da Caniça (HMWB -
Jusante B. Lagoa Comprida)";Energia;;"Decreto de concessão de  9 de outubro de
1968";;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Covão do Meio;APA;;;;PT04MON0634;09/10/1968;09/10/2028;Ribeira de Loriga;Energia;;"Decreto de concessão de  9 de outubro de
1968";;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Covão do Vale do Conde;APA;;;;PT04MON0621;09/10/1968;09/10/2028;Ribeiro do Covão do Urso;Energia;;"Decreto de concessão de  9 de outubro de
1968";;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Covão dos Conchos;APA;;;;PT04MON0621;09/10/1968;09/10/2028;Ribeiro do Covão do Urso;Energia;;"Decreto de concessão de  9 de outubro de
1968";;;-;RH4A;Vouga, Mondego e Lis;;Mondego
"Fronhas - deriva para central
da Aguieira";Both;40.2463268;-8.1645557;0.8 MW;PT04MON0654;08/03/2008;31/12/2052;Albufeira das Fronhas;Energia;Substring;CC N.º 19/ENERGIA/INAG/2008 e adenda;19656209;HEC - Hidroeléctrica do Centro;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica de Fronhas;Mondego
"Lagoa Comprida (Barragem
Marques da Silva)";APA;;;;PT04MON0629;09/10/1968;09/10/2028;Albufeira Lagoa Comprida;Energia;;"Decreto de concessão de  9 de outubro de
1968";;;Lazer;RH4A;Vouga, Mondego e Lis;;Mondego
Lagoacho;APA;;;;PT04MON0621;09/10/1968;09/10/2028;Ribeiro do Covão do Urso;Energia;;"Decreto de concessão de  9 de outubro de
1968";;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Levada-a-Velha;Both;40.6459661;-7.7318592;0.2 MW;PT04MON0578;31/12/1996;31/12/2031;Rio Dão;Energia;Exact;Alvará de Licença N.º 230/96 – MH (1);1227795225;Aplicações Hidroeléctricas da Beira Alta;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico da Levada-a-Velha;Mondego
MACIEIRA;APA;;;;PT04MON0623;17/12/2020;17/12/2045;Ribeira de Mortágua;Rega;;CC N.º 01/REGA/CAP.SUP./RH4/2020;;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Moinhos;Both;40.2595065;-8.0305539;0.8 MW;PT04MON0600;28/11/1997;28/11/2032;Rio do Castelo;Energia;Substring;Alvará Licença nº 836/97 - MH(16);1227840424;Energias de Portugal;Rega - CC;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica de Rei de Moinhos;Mondego
Múceres;Both;40.5407305;-8.1666529;0.3 MW;PT04MON0603;10/02/1997;10/02/2032;Rio Criz;Energia;Exact;Alvará de Licença n.º 120/97 - MH(9);1227795218;Hidroeléctrica de Múceres;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico de Múceres;Mondego
"Nossa Senhora do Desterro
(Açude do Poço Negro)";Both;40.3983168;-7.6870319;12.9 MW;PT04MON0626;09/10/1968;09/10/2028;Rio Alva;Energia;Substring;"Decreto de concessão de  9 de outubro de
1968";759354186;Energias de Portugal;Abastecimento público - CC;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica do Desterro;Mondego
Penacova;Both;40.2973008;-8.2481301;9.6 MW;PT04MON0638A;01/04/2002;01/04/2037;"Rio Mondego (HMWB - Jusante
Aç. Raiva)";Energia;Exact;Alvará de Licença N.º 307/96 – MH (3);564481295;Aquila Capital;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico de Penacova;Mondego
Ponte de Fagilde;Both;40.6293545;-7.82543;2.4 MW;PT04MON0598;30/11/1998;30/11/2033;"Rio Dão (HMWB - Jusante B.
Fagilde)";Energia;Substring;Alvará de Licença nº 237/96-MH(2);1317424510;Aquila Capital;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica de Fagilde;Mondego
Ponte de Jugais;Both;40.3848096;-7.7049682;20.3 MW;PT04MON0626;09/10/1968;09/10/2028;Rio Alva;Energia;Exact;"Decreto de concessão de  9 de outubro de
1968";252112766;Energias de Portugal;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica da Ponte de Jugais;Mondego
Raiva;Both;40.3090573;-8.2486186;23 MW;PT04MON0635;08/03/2008;31/12/2053;Albufeira da Raiva;Energia;Exact;CC N.º 20/ENERGIA/INAG/2008;361997761;Energias de Portugal;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica da Raiva;Mondego
Rei de Moinhos (v);APA;;;;PT04MON0658;05/08/1939;05/08/2028;Rio Alva;Energia;;Decreto de 5 de agosto de 1939;;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Ribeira do Paúl;APA;;;;PT04MON0608;11/07/2012;11/07/2047;Rio Dinha;Industrial;;CC N.º 02/ABAST/ARHC/2012;;;-;RH4A;Vouga, Mondego e Lis;;Mondego
Vale do Rossim;Both;40.3997856;-7.5886517;10 MW;PT04MON0620;09/10/1968;09/10/2028;Albufeira de Vale Rossim;Energia;Exact;"Decreto de concessão de  9 de outubro de
1968";1227769058;Energias de Portugal;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico do Vale do Rossim;Mondego
Vila Cova;Both;40.379713;-7.7279431;22.9 MW;PT04MON0626;09/10/1968;09/10/2028;Rio Alva;Energia;Exact;"Decreto de concessão de  9 de outubro de
1968";252114919;Energias de Portugal;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica de Vila Cova;Mondego
"Açude Malhada de
Cambarinho";APA;;;;PT04VOU0548;24/05/2013;24/05/2023;Rio Alfusqueiro;Rega;;A007913.2013.RH4;;;-;RH4A;Vouga, Mondego e Lis;;Vouga
Águas Frias;Both;40.8112087;-8.0371669;2.2 MW;PT04VOU0515;10/02/1997;10/02/2032;Rio Sul;Energia;Exact;Alvará de Licença nº 119/97 - MH (8);1227685884;RP GLOBAL PORTUGAL;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico de Águas Frias;Vouga
Aproveitamento Hidroelétrico de Lourizela (Lote 7C);APA;;;;PT04VOU0528A;09/09/2024;09/09/2069;Rio Lordelo;Energia;;CC N.º 01/ENERGIA/APA-ARHC/2021;;;-;RH4A;Vouga, Mondego e Lis;;Vouga
Aproveitamento Hidroelétrico de Rio de Mel (Lote 8C);APA;;;;PT04VOU0519;30/09/2019;30/09/2064;Rio de Mel;Energia;;CC N.º 01/ENERGIA/APA-ARHC/2017;;;-;RH4A;Vouga, Mondego e Lis;;Vouga
Areeiro;Both;40.8079616;-8.4500312;0.4 MW;PT04VOU0523;31/12/1993;31/12/2028;Rio Caima;Energia;Exact;Alvará de Licença N.º 76;1227770837;EcoCaima - Central Hídrica;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico do Areeiro;Vouga
Bertelhe;Both;40.7543465;-7.8426579;0.3 MW;PT04VOU0520;31/12/1996;31/12/2031;Rio Vouga;Energia;Exact;Alvará de Licença N.º 251/96 - MH (4);1227795230;Aplicações Hidroeléctricas da Beira Alta;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico de Bertelhe;Vouga
"Burgães (Barragem Eng.º
Duarte Pacheco)";APA;;;;PT04VOU0506;14/11/2017;14/11/2037;Rio Caima;Rega;;CC N.º 01/AGRIC/SUP/RH4/2017;;;Abastecimento público - CC;RH4A;Vouga, Mondego e Lis;;Vouga
Carregal / Manhouce;Both;40.807586;-8.2430146;5 MW;PT04VOU0513A;09/10/1992;09/10/2027;Rio Teixeira;Energia;Substring;Alvará de Licença N.º 62;1227771325;RP GLOBAL PORTUGAL;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico do Carregal;Vouga
Cercosa;Both;40.670411;-8.2468344;4.2 MW;PT04VOU0548;14/05/1997;14/05/2032;Rio Alfusqueiro;Energia;Exact;Alvara Licença Nº 15/89;1227781357;Generg;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica da Cercosa;Vouga
Ermida (Ribeiradio);Both;40.0962528;-8.2270503;353 kW;PT04VOU0546B;31/07/2015;31/07/2090;Albufeira de Ermida;Energia;Substring;CC N.º 02/2009 e 3 adendas;221140173;Energias de Portugal;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica da Ermida;Vouga
Fumadinha;APA;;;;PT04VOU0516;17/07/2009;15/09/2030;Rio Vouga;Lazer;;CC N.º 9/ABAST/ARH Centro;;;-;RH4A;Vouga, Mondego e Lis;;Vouga
Grela;Both;40.7058078;-8.3632844;0.6 MW;PT04VOU0546A;25/11/1993;25/11/2038;"Rio Vouga (HMWB - Jusante B.
Ermida)";Energia;Exact;Alvará de Licença N.º 101;155604809;Generg;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico da Grela;Vouga
Ossela (Carvalhal);Both;40.8261479;-8.415477;0.5 MW;PT04VOU0523;21/11/1990;21/11/2045;Rio Caima;Energia;Substring;Alvará de Licença nº 7/89;581938505;Pecuaria Pinto Triunfante de Vale de Cambra;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico do Carvalhal;Vouga
Palhal;Both;40.7428045;-8.4605957;2.6 MW;PT04VOU0553;31/12/1991;31/12/2026;Rio Vouga;Energia;Exact;Alvará de Licença nº 44  de 25.6.1990;227955239;Aquila Capital;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico de Palhal;Vouga
Paredes;Both;40.7522564;-8.1730187;3.8 MW;PT04VOU0529A;16/02/1996;16/02/2031;Rio Valoso;Energia;Exact;Alvará de Licença nº 67;1227780037;RP GLOBAL PORTUGAL;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico de Paredes;Vouga
Pego;Both;38.4177341;-8.3934664;2 MW;PT04VOU0523;09/03/1998;09/03/2033;Rio Caima;Energia;Substring;Alvará de Licença N.º 10/C – A.H.E.;544239109;Direção-Geral de Agricultura e Desenvolvimento Rural;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica do Pego do Altar;Vouga
Pereiras;APA;;;;PT04VOU0548;em avaliação;em avaliação;Rio Alfusqueiro;Rega;;A017574.2016.RH4A;;;-;RH4A;Vouga, Mondego e Lis;;Vouga
Ponte do Vouguinha;Both;40.7724974;-7.794174;0.3 MW;PT04VOU0520;28/11/1997;28/11/2032;Rio Vouga;Energia;Exact;Alvará de Licença N.º 802/97 - MH(15);1227795231;Electricidade da Beira;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico da Ponte Vouguinha;Vouga
Quinta de Valgode;Both;40.7300799;-8.1076292;0.6 MW;PT04VOU0530A;05/12/1996;05/12/2031;Rio Vouga;Energia;Exact;Alvará de Licença n.º 873/96  - MH(7);925537354;HV - Hidroeléctrica de Valgode;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico da Quinta de Valgode;Vouga
Ribeiradio;Both;40.7418881;-8.3218452;73.6 MW;PT04VOU0546C;31/07/2015;31/07/2090;Albufeira de Ribeiradio;Energia;Exact;CC N.º 02/2009 e 3 adendas;804443636;Energias de Portugal;-;RH4A;Vouga, Mondego e Lis;Central Hidroelétrica do Ribeiradio;Vouga
S. Pedro do Sul;APA;;;;PT04VOU0530A;31/01/1994;31/01/2029;Rio Vouga;Energia;;Alvará de Licença nº 73;;;-;RH4A;Vouga, Mondego e Lis;;Vouga
Soutinho;Both;40.6023667;-8.2946439;3.2 MW;PT04VOU0560;31/12/1991;31/12/2026;Rio Águeda;Energia;Exact;Alvará de Licença nº 38;1227781362;Generg;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico de Soutinho;Vouga
Talhadas (Lourizela);Both;40.6470576;-8.3177396;5.4 MW;PT04VOU0559;em avaliação;em avaliação;Rio Águeda;Energia;Substring;Alvará de Licença N.º 23;1227781358;Generg;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico de Talhadas;Vouga
Teixo e Dornas;Both;40.576353;-8.28055;7 MW;PT04VOU0556;06/11/2009;06/11/2044;Ribeira de Souto;Energia;Substring;CC N.º  01/C/E/CC DR/Centro/2008;1202722882;RP GLOBAL PORTUGAL;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico do Teixo;Vouga
Várzea de Calde;APA;;;;PT04VOU0520;16/01/2015;16/01/2035;Rio Vouga;Rega;;CC N.º 01/AGRIC/SUP/RH4/2015;;;Abastecimento público - CC;RH4A;Vouga, Mondego e Lis;;Vouga
Vilar do Monte;Both;40.7558403;-7.9489641;10 MW;PT04VOU0520;22/08/2018;22/08/2053;Rio Vouga;Energia;Exact;CC N.º 05/2009;1227795226;RP Global Portugal;-;RH4A;Vouga, Mondego e Lis;Aproveitamento Hidroelétrico de Vilar do Monte;Vouga
"Açude do Aproveitemento
Hidroagricola de Cela";APA;;;;PT05RDW1157;18/04/2011;18/04/2031;Rio Alcoa;Rega;;ARHT/0021.11/T/C.CA.S;;;-;RH5A;Tejo e Ribeiras do Oeste;;"Ribeiras do
Oeste"
Alvorninha;APA;;;;PT05RDW1163;30/04/2013;30/04/2033;Rio da Tornada;Rega;;ARHT/082.13/R/C.CA.S/APA/2013;;;-;RH5A;Tejo e Ribeiras do Oeste;;"Ribeiras do
Oeste"
Óbidos;APA;;;;PT05RDW1169A;24/11/2016;31/12/2036;Rio Real;Rega;;ARHTO/120.16/R/C.CAS, 24.11.2016;;;-;RH5A;Tejo e Ribeiras do Oeste;;"Ribeiras do
Oeste"
Açafal;APA;;;;PT05TEJ0896A;12/06/2020;31/12/2045;Ribeira do Açafal;Rega;;APA/ARHTO/012.20/T/C.CA.S;;;-;RH5A;Tejo e Ribeiras do Oeste;;Tejo
Alforfa;Both;40.2757364;-7.6117633;7.5 MW;PT05TEJ0749;16/01/1995;16/01/2030;Ribeira de Alforfa;Energia;Substring;Alvará de Licença de 16.1.1995;191457692;HIDROCORGO;-;RH5A;Tejo e Ribeiras do Oeste;Aproveitamento Hidroelétrico da Ribeira de Alforfa;Tejo
Apartadura;APA;;;;PT05TEJ0964;01/01/2009;20/04/2031;Albufeira da Apartadura;Rega;;CC n.º ARHTO/016.20/R/C.CAS;;;Abastecimento público - CC;RH5A;Tejo e Ribeiras do Oeste;;Tejo
