Bacia Hidrográfica;Aproveitamento Hidráulico;N.º Contrato Concessão (CC);Finalidade CC;Data CC - Início;Data CC - Termo;Outros Usos albufeira;RH;Região hidrográfica;Código da massa de água;Designação da Massa de água
Douro;"Baixo Sabor (escalão
jusante)/Feiticeiro";CC N.º  27/ENERGIA/INAG/2008;Energia;01/07/2015;31/07/2090;-;RH3;Douro;PT03DOU0335C;"Albufeira do Baixo Sabor
(Jusante)"
Douro;"Barreiros (Quinta da
Fervença)";"Alvará de Licença nº 004/C - AHE, de
21/12/1996";Energia;22/10/1998;22/10/2033;-;RH3;Douro;PT03DOU0457;Rio Távora
Douro;Bemposta;CC N.º  11/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2056;Abastecimento público - CC;RH3;Douro;PT03DOU0295;Albufeira da Bemposta
Douro;Bouçoais - Sonim;"Alvará de Licença  Nº 019/C - AHE de
30.6.1999";Energia;30/06/1999;30/06/2034;-;RH3;Douro;PT03DOU0189N;Rio Rabaçal
Douro;Bragadas;Alvará de Licença nº 27 de 12.03.1990;Energia;26/07/1996;26/07/2031;-;RH3;Douro;PT03DOU0300A;Rio Beça
Douro;Bragado;"Alvará de Licença nº 002/C-A.H.E, de
08/01/1996";Energia;29/05/1998;29/05/2033;-;RH3;Douro;PT03DOU0211;Rio Avelames
Douro;Burga;"CC N.º 00008/2013-RH3.1216.A, de
23.4.2013";Rega;23/04/2013;23/04/2033;-;RH3;Douro;PT03DOU0290;Ribeira da Vilariça
Douro;Candemil;C00001/2010-RH3.12.A, de 15/04/2010;Energia;01/12/2011;01/12/2046;-;RH3;Douro;PT03DOU0319;Rio Ovelha
Douro;Canedo;"1/ENERGIA/CCDRN/NORTE/2008, de
18/07/2008";Energia;em avaliação;em avaliação;-;RH3;Douro;PT03DOU0300A;Rio Beça
Douro;Carrapatelo;CC N.º  15/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;PT03DOU0401;Albufeira do Carrapatelo
Douro;Casal;Alvará de Licença nº 24, de 12/03/1990;Energia;em avaliação;em avaliação;-;RH3;Douro;PT03DOU0238;Rio de Ouro
Douro;Catapereiro;Alvará de Licença nº 75 de 24/01/1991;Energia;28/02/1997;28/02/2032;-;RH3;Douro;PT03DOU0372A;Ribeira da Teja
Douro;Cefra (Freita);"DECRETO nº 27145 DE 24.10.1936,
PUBLICADO 24.10.1936";Energia;14/12/2000;13/11/2030;-;RH3;Douro;PT03DOU0242;Rio de Ouro
Douro;Central da Ribeira;C00008/2012-RH3.12.12.A, de 12/03/2012;Energia;12/03/2012;12/03/2047;-;RH3;Douro;PT03DOU0204;Rio Covas
Douro;Cerejo (Bouça Cova);CC N.º 00007/2020-RH3.12.A;Rega;28/11/2020;31/12/2045;Abastecimento público - CC;RH3;Douro;PT03DOU0479A;Albufeira de Cerejo
Douro;Chelo I - Mourães;Alvará de Licença nº 89, de dezembro de 1991;Energia;08/06/1994;08/06/2029;-;RH3;Douro;PT03DOU0408;Rio Uima
Douro;Chelo II;Alvará Licença nº001/C-AHE, de 30/05/1995;Energia;em avaliação;em avaliação;-;RH3;Douro;PT03DOU0390;Rio Varosa
Douro;Crestuma-Lever;CC N.º  16/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;PT03DOU0407;Albufeira de Crestuma-Lever
Douro;Curalha;"CC N.º 00005/2013-RH3.1212.A,  de
23.4.2013";Rega;23/04/2013;23/04/2033;-;RH3;Douro;PT03DOU0226NA1;Rio Tâmega
Douro;Daivões;CC N.º  32/ENERGIA/APA/2014;Energia;22/07/2022;31/12/2072;-;RH3;Douro;PT03DOU0233A;Albufeira de Daivões
Douro;Ermida (Barragem);Alvará de licença nº 14/89 de 4 de dezembro;Energia;30/11/1992;30/11/2027;-;RH3;Douro;PT03DOU0452;Ribeira da Carvalhosa
Douro;Foz Tua;CC N.º  28/ENERGIA/INAG/2011;Energia;04/04/2018;04/04/2093;-;RH3;Douro;PT03DOU0331C;Albufeira de Foz Tua
Douro;Fráguas;Alvará de Licença nº 13/89 de 04/12/1989;Energia;03/11/1992;03/11/2027;-;RH3;Douro;PT03DOU0453;Rio Paiva
Douro;Freigil;Concessão do Contrato 5787-III de 10 de maio, publicado no DG 2R Série de 28.09.1920;Energia;01/01/2011;01/07/2028;-;RH3;Douro;PT03DOU0394;Rio Cabrum
Douro;Gostei;CC N.º 00003/2013-RH3.1216A;Rega;23/04/2013;23/04/2033;-;RH3;Douro;PT03DOU0167;Rio Fervença
Douro;Gouvães;CC N.º  32/ENERGIA/APA/2014;Energia;22/07/2022;31/12/2072;Abastecimento público -CC;RH3;Douro;PT03DOU0255B;Albufeira de Gouvães
Douro;Granja do Tedo;"Alvará de Licença nº 008/C-A.H.E, de
14/01/1997";Energia;14/01/1997;14/01/2032;-;RH3;Douro;PT03DOU0410;Ribeira do Tedo
Douro;Hortas / Mourães;"CC N.º  C000011/2014-RH3.12.A de
09/12/2014";Energia;09/12/2014;09/12/2054;-;RH3;Douro;PT03DOU0408;Rio Uima
Douro;Lomba;"Alvará de Licença nº 005/C     AHE de 23 de
abril de 1996";Energia;27/09/1999;27/09/2034;-;RH3;Douro;PT03DOU0341;Rio Ovelha
Douro;Mairos;CC N.º 00004/2013-RH3.1212A, de 23.4.2013;Rega;23/04/2013;23/04/2033;-;RH3;Douro;PT03DOU0166;Ribeira de Arcosso
Douro;Miranda do Douro;CC N.º  09/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2042;Abastecimento público - CC;RH3;Douro;PT03DOU0245;Albufeira de Miranda
Douro;Misarela;Alvará de Licença nº 22, de 08/09/1999;Energia;08/09/1999;08/09/2034;-;RH3;Douro;PT03DOU0369;Ribeiro de Temilobos
Douro;Moinhos de Moiratão;C00002/2010-RH3.12.A, de 16/04/2010;Energia;10/10/2011;10/10/2046;-;RH3;Douro;PT03DOU0437B;Ribeira da Teja
Douro;Nunes;Alvará de Licença Nº16/89 de 3.1.1990;Energia;16/02/1995;15/02/2030;-;RH3;Douro;PT03DOU0180;Rio Tuela
Douro;Ovadas;Alvará de Licença Nº 77 de 21.1.1991;Energia;25/06/1991;24/06/2026;-;RH3;Douro;PT03DOU0394;Rio Cabrum
Douro;Pego Negro;C00004/2011-RH3.1212.A, de 12.12.2011;Energia;12/12/2011;12/12/2051;-;RH3;Douro;PT03DOU0297;Ribeira de Santa Natália
Douro;Penhas Altas;Alvará de Licença Nº 57;Energia;em avaliação;em avaliação;-;RH3;Douro;PT03DOU0327;Rio Ferreira
Douro;Pereira;"Alvará de Licença nº 294/98 - MH(15) de
03/06/1998";Energia;03/06/1998;03/06/2033;-;RH3;Douro;PT03DOU0452;Ribeira da Carvalhosa
Douro;Picote;CC N.º  10/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2063;Abastecimento público - CC;RH3;Douro;PT03DOU0275;Albufeira de Picote
Douro;Pinhão;"CC N.º 4/ABAST/ARH do Norte.I.P./2009, de
29.5.2009";Energia;29/05/2009;26/10/2031;-;RH3;Douro;PT03DOU0285B;Albufeira do Pinhão
Douro;Pinhel (Ribeira da Pega);"Alvará de Licença nº 590/99-MH, de
09/06/1999";Energia;09/06/1999;09/06/2034;-;RH3;Douro;PT03DOU0474;"Ribeira da Pega (HMWB -
Jusante B. Vascoveiro)"
Douro;Pinhel (Ribeira das Cabras);"Alvará de Licença nº 590/99-MH, de
09/06/2000";Energia;09/06/1999;09/06/2034;-;RH3;Douro;PT03DOU0471;Rio Côa
Douro;Pisões;"CC N.º nº C00007/2017-RH3.12.A, de
27/07/2017";Energia;10/05/2021;11/05/2056;-;RH3;Douro;PT03DOU0320;Rio Fornelo
Douro;Pocinho;CC N.º  12/ENERGIA/INAG;Energia;08/03/2008;31/12/2052;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;PT03DOU0371;Albufeira do Pocinho
Douro;Ponte Nova;"Alvará de Licença nº003/C.AHE, de
19/01/1996";Energia;26/07/1996;26/07/2031;-;RH3;Douro;PT03DOU0457;Rio Távora
Douro;Prada;CC N.º 005/2019-RH3.12.A de 31.5.2019;Rega;31/05/2019;31/05/2044;-;RH3;Douro;PT03DOU0156;Regato de Vale de Cabrões
Douro;Rebordelo;"Alvará de Licença  Nº 011/C - AHE de
17.2.1999";Energia;17/02/1999;17/02/2034;-;RH3;Douro;PT03DOU0189N;Rio Rabaçal
Douro;Rego do Milho;CC N.º 006/2019-RH3.12.A de 31.5.2019;Rega;31/05/2019;31/05/2044;-;RH3;Douro;PT03DOU0152;Ribeira de Cambedo Regueirón
Douro;Régua;CC N.º  14/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;PT03DOU0365;Albufeira da Régua
Douro;Ribadouro (Açude);Alvará de Licença nº 68, de 30/11/1990;Energia;13/12/1991;13/12/2026;-;RH3;Douro;PT03DOU0392;Rio Ovil
Douro;Ribeiro Grande e Arco;"CC N.º 00008/2013-RH3.1216.A, de
23.4.2013";Rega;23/04/2013;23/04/2033;-;RH3;Douro;PT03DOU0325C;"Albufeira de Ribeiro Grande e
Arco"
Douro;Salgueiro;"CC N.º 00008/2013-RH3.1216.A, de
23.4.2013";Rega;23/04/2013;23/04/2033;-;RH3;Douro;PT03DOU0290;Ribeira da Vilariça
Douro;Santa Justa;"CC N.º 00008/2013-RH3.1216.A, de
23.4.2013";Rega;23/04/2013;23/04/2033;-;RH3;Douro;PT03DOU0290;Ribeira da Vilariça
Douro;Senhora de Monforte;Alvará de Licença nº 39/90 , de 04/05/1990;Energia;06/06/1992;06/06/2027;-;RH3;Douro;PT03DOU0471;Rio Côa
Douro;Senhora do Salto;Alvará de Licença nº56 de 12/10/1990;Energia;09/02/1993;09/02/2028;-;RH3;Douro;PT03DOU0399;Rio Sousa
Douro;Sordo;Alvará de Licença nº  110 de 3.7.1993;Energia;06/12/1994;05/12/2029;Abastecimento público - CC;RH3;Douro;PT03DOU0310;Rio Sordo
Douro;Terragido;Alvará de Licença Nº 34/90 de 29.3.1990;Energia;08/02/1991;07/02/2026;-;RH3;Douro;PT03DOU0359;Rio Corgo
Douro;Torga;Alvará de Licença Nº 69 de 17/12/1990;Energia;02/07/1991;01/07/2026;-;RH3;Douro;PT03DOU0180;Rio Tuela
Douro;Torrão;CC N.º  17/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;"Abastecimento público - CC;
Navegação; Lazer";RH3;Douro;PT03DOU0393;Albufeira do Torrão
Douro;Trutas;C00013/2010.RH2.1214.A, de 22/12/2010;Energia;22/12/2010;19/11/2044;-;RH3;Douro;PT03DOU0180;Rio Tuela
Douro;Ucanha - Gouviães;Alvará de Licença nº 100 de 30/09/1992;Energia;01/03/1999;01/03/2034;-;RH3;Douro;PT03DOU0390;Rio Varosa
Douro;Vale Madeira;Alvará de Licença nº 107, de 30/07/1993;Energia;17/06/2004;17/06/2039;-;RH3;Douro;PT03DOU0471;Rio Côa
